,,,,,,,Total Runs By team,
Matches Won By Team,,,Top Run Scorer,,,,,
,,,,,,,Row Labels,Sum of total_run
Row Labels, ID,,Row Labels,Sum of batsman_run,,,Chennai Super Kings,33393
Chennai Super Kings,121,,V Kohli,6634,,,Deccan Chargers,11463
Deccan Chargers,29,,S Dhawan,6244,,,Delhi Capitals,10145
Delhi Capitals,36,,DA Warner,5883,,,Delhi Daredevils,24296
Delhi Daredevils,67,,RG Sharma,5881,,,Gujarat Titans,7525
Gujarat Lions,13,,SK Raina,5536,,,Kochi Tuskers Kerala,1901
Gujarat Titans,12,,Grand Total,30178,,,Kolkata Knight Riders,34201
Kings XI Punjab,88,,,,,,Lucknow Super Giantss,2548
Kochi Tuskers Kerala,6,,,,,,Mumbai Indians,36663
Kolkata Knight Riders,114,,,,,,Pune Warriors,6358
Lucknow Super Giants,9,,,,,,Punjab Kings,34557
Mumbai Indians,131,,,,,,Rajasthan Royals,29681
NA,4,,,,,,Rising Pune Supergiant,2470
Pune Warriors,12,,Row Labels,Sum of isWicketDelivery,,,Rising Pune Supergiants,2063
Punjab Kings,13,,DJ Bravo,207,,,Royal Challengers Bangalore,35190
Rajasthan Royals,96,,SL Malinga,188,,,Sunrisers Hyderabad,23643
Rising Pune Supergiant,10,,A Mishra,175,,,Grand Total,296097
Rising Pune Supergiants,5,,R Ashwin,174,,,,
Royal Challengers Bangalore,109,,YS Chahal,172,,,,
Sunrisers Hyderabad,75,,Grand Total,916,,,,
Grand Total,950,,,,,,,
